Date,Closing Price,MonthlyGainOrLoss
1-May-65,89.28,0.01489144
1-Apr-65,87.97,0.013129103
1-Mar-65,86.83,0.00092219
1-Feb-65,86.75,0.007315374
1-Jan-65,86.12,0.025726536
1-Dec-64,83.96,-0.017322097
1-Nov-64,85.44,0.006953447
1-Oct-64,84.85,0.017264117
1-Sep-64,83.41,0.017195122
1-Aug-64,82,-0.014659938
1-Jul-64,83.22,0.037138584
1-Jun-64,80.24,-0.005946482
1-May-64,80.72,0.009757318
1-Apr-64,79.94,0.014467005
1-Mar-64,78.8,0.018219408
1-Feb-64,77.39,0.012295618
1-Jan-64,76.45,0.030740191
1-Dec-63,74.17,0.021343982
1-Nov-63,72.62,-0.005614131
1-Oct-63,73.03,0.00247083
1-Sep-63,72.85,0.026345449
1-Aug-63,70.98,0.027653106
1-Jul-63,69.07,-0.014833833
1-Jun-63,70.11,-0.000427716
1-May-63,70.14,0.020069808
1-Apr-63,68.76,0.047053449
1-Mar-63,65.67,-0.003792476
1-Feb-63,65.92,0.013218567
1-Jan-63,65.06,0.038633461
1-Dec-62,62.64,0.043304464
1-Nov-62,60.04,0.068897988
1-Oct-62,56.17,-0.031551724
1-Sep-62,58,-0.008885851
1-Aug-62,58.52,0.027207302
1-Jul-62,56.97,0.024087722
1-Jun-62,55.63,-0.116843943
1-May-62,62.99,-0.07435709
1-Apr-62,68.05,-0.031867976
1-Mar-62,70.29,0.000996867
1-Feb-62,70.22,0.016649776
1-Jan-62,69.07,-0.037217731
1-Dec-61,71.74,0.009285312
1-Nov-61,71.08,0.045294118
1-Oct-61,68,0.011002081
1-Sep-61,67.26,-0.007818262
1-Aug-61,67.79,0.035910758
1-Jul-61,65.44,-0.002743066
1-Jun-61,65.62,-0.013233083
1-May-61,66.5,0.010177731
1-Apr-61,65.83,0.026668746
1-Mar-61,64.12,0.03136561
1-Feb-61,62.17,0.041024782
1-Jan-61,59.72,0.051408451
1-Dec-60,56.8,0.023976924
1-Nov-60,55.47,0.032384143
1-Oct-60,53.73,-0.019704433
1-Sep-60,54.81,-0.030083171
1-Aug-60,56.51,0.011998567
1-Jul-60,55.84,-0.024799162
1-Jun-60,57.26,0.036943137
1-May-60,55.22,-0.009151265
1-Apr-60,55.73,0.012904398
1-Mar-60,55.02,-0.013624955
1-Feb-60,55.78,-0.038773048
1-Jan-60,58.03,-0.017439892
1-Dec-59,59.06,0.031976236
1-Nov-59,57.23,0.004035088
1-Oct-59,57,-0.000876424
1-Sep-59,57.05,-0.03956229
1-Aug-59,59.4,-0.005691329
1-Jul-59,59.74,0.039679777
1-Jun-59,57.46,-0.008626639
1-May-59,57.96,0.015061296
1-Apr-59,57.1,0.016737892
1-Mar-59,56.16,0.025378857
1-Feb-59,54.77,-0.015282273
1-Jan-59,55.62,0.039820527
1-Dec-58,53.49,0.018857143
1-Nov-58,52.5,0.030421982
1-Oct-58,50.95,0.040645425
1-Sep-58,48.96,0.026415094
1-Aug-58,47.7,0.037407569
1-Jul-58,45.98,0.027486034
1-Jun-58,44.75,0.02402746
1-May-58,43.7,0.032120926
1-Apr-58,42.34,0.005461886
1-Mar-58,42.11,0.020601066
1-Feb-58,41.26,0.003404669
1-Jan-58,41.12,0.019588396
1-Dec-57,40.33,-0.000495663
1-Nov-57,40.35,-0.021580989
1-Oct-57,41.24,-0.062301046
1-Sep-57,43.98,-0.040575916
1-Aug-57,45.84,-0.055040198
1-Jul-57,48.51,0.020189274
1-Jun-57,47.55,0.016460026
1-May-57,46.78,0.038401776
1-Apr-57,45.05,0.023166023
1-Mar-57,44.03,0.012882448
1-Feb-57,43.47,-0.043143297
1-Jan-57,45.43,-0.021748493
1-Dec-56,46.44,0.01486014
1-Nov-56,45.76,-0.010380623
1-Oct-56,46.24,-0.012809564
1-Sep-56,46.84,-0.034027635
1-Aug-56,48.49,-0.005945059
1-Jul-56,48.78,0.054246812
